region,year,month,milk_production(tons),meat_production(tons),milk_lag_1(tons),milk_lag_3(tons),milk_lag_6(tons),meat_lag_1(tons),meat_lag_3(tons),meat_lag_6,milk_mom_change(%),meat_mom_change,food_shock_risk,predicted_risk,risk_probability
Абай,2024,8,203447,"80663,85","171118,2","97129,9","21733,8","68229,27","39222,31","12628,84","0,1889267185","0,1822470034",1,1,"0,998997013"
Акмолинская,2024,8,"161591,3","130282,85","138918,3","84373,7","22706,2","115745,93","80388,85","30661,39","0,1632110384","0,1255933578",0,0,"0,01409625409"
Актюбинская,2024,8,"120743,7","68154,21","101035,1","52699,9","11191,8","61189,81","42967,13","13659,53","0,1950668629","0,1138163364",1,0,"0,4921900942"
Алматинская,2024,8,"189191,1","160373,25","156307,6","93974,8","33729,8","139545,43","93409,18","30817,23","0,2103768467","0,1492547624",1,1,"0,9849418748"
Атырауская,2024,8,21592,"27821,89","18328,3",11784,"2249,3","24439,6","16529,45","6238,31","0,178068888","0,1383938362",0,0,"0,3306309037"
Западно-Казахстанская,2024,8,"158226,5","61516,22","138026,7","71691,2","9661,7","54040,21","34873,32","11378,31","0,1463470473","0,1383416164",0,0,"0,2530798283"
Жамбылская,2024,8,"153771,4","71665,81","128864,4","77713,6","23557,8","61532,09","41478,5","15112,04","0,1932806888","0,1646900016",1,1,"0,981508054"
Жетісу,2024,8,"142392,6","53839,05","121600,1","74608,5","19901,9","47952,71","28211,23","8266,54","0,1709908133","0,1227530206",0,0,"0,3285053748"
Карагандинская,2024,8,140932,"53678,58","122659,6","68437,8",11529,"46710,88","27592,82","9985,8","0,1489683645","0,1491665325",0,0,"0,3914594581"
Костанайская,2024,8,"163830,6","48519,24","150423,8","83120,6",24317,"43791,79","29841,32","11888,06","0,0891268536","0,1079528834",0,0,"0,0001538113689"
Кызылординская,2024,8,"29525,9","22394,64","25162,5","16551,3","5891,9","19469,66","13540,68","5772,29","0,1734088425","0,1502327211",0,0,"0,4371714258"
Павлодарская,2024,8,"164247,6","65875,09","139489,7","86460,3","27243,2","57117,13","34609,11","12688,61","0,1774890906","0,1533333345",0,1,"0,8625487727"
Северо-Казахстанская,2024,8,262702,"45948,06","219476,7","128496,4",34752,"37013,45","24303,65","12165,89","0,1969471019","0,2413881981",1,1,"0,9999875144"
Туркестанская,2024,8,"318820,8","128417,42","280179,4",185712,"55513,1","112864,84","77328,11","32956,71","0,1379166348","0,1377982727",0,0,"0,0008938571579"
Ұлытау,2024,8,"44090,4","15140,21","36785,7","20723,4","3438,5","13076,81","8818,91","4939,05","0,198574446","0,1577907762",1,1,"0,7475469255"
Восточно-Казахстанская,2024,8,"153845,9","95914,54","128317,1","75103,6","22193,3","84017,8","54651,78","20111,68","0,1989508803","0,1415978519",1,1,"0,9086321124"
г. Астана,2024,8,"141,1","45,53","116,1",73,"20,9","40,29","31,9","12,4","0,2153316107","0,1300570861",1,0,"0,4354493544"
г. Алматы,2024,8,"253,5",25,226,"170,3","96,5","22,5","17,6",6,"0,1216814159","0,1111111111",0,0,"0,4182121962"
г. Шымкент,2024,8,"47495,8","5568,58","41124,1","25363,5","7398,7","5125,51","3767,81","1815,42","0,1549383452","0,08644408069",0,0,"0,3487108568"
Абай,2025,8,"214510,4","84915,7","180035,5","99211,3",22148,"71920,9","41264,38","12914,72","0,1914894562","0,1806818324",1,1,"0,9995489063"
Акмолинская,2025,8,"163721,5","136382,4","140880,3","87008,7","23453,3",122040,"88206,47","33344,68","0,1621319659","0,1175221239",0,0,"0,002423838458"
Актюбинская,2025,8,"123705,7","68532,44","103322,6","53979,4",11448,"61721,49","43478,61","13696,88","0,1972762977","0,1103497339",1,0,"0,478075718"
Алматинская,2025,8,"195730,1","163065,67","162844,8","98145,3","34965,3","143002,49","96683,32","31775,76","0,2019425858","0,1402995151",1,1,"0,8618627604"
Атырауская,2025,8,"22828,7","30144,94","19329,4","12309,9",2250,"26533,04","17941,59","6766,63","0,1810351071","0,1361283894",1,0,"0,3150095187"
Западно-Казахстанская,2025,8,"162831,8","63368,06","142032,2","73651,7","9820,3","55892,74","35483,24","11290,3","0,1464428489","0,1337440247",0,0,"0,1970094305"
Жамбылская,2025,8,"156281,6","75103,97",130984,"78917,5","23820,8","64866,93","42420,99","15635,74","0,1931350394","0,1578160089",1,1,"0,9707775711"
Жетісу,2025,8,"147597,2","55438,58","125893,1","76550,9","20765,2","49261,29","29103,63","8405,92","0,1724010291","0,125398462",0,0,"0,40830727"
Карагандинская,2025,8,143483,"56535,47","124664,5","69498,9","11458,7","49186,79","28994,4","9936,03","0,1509531583","0,1494035289",0,0,"0,430633485"
Костанайская,2025,8,180178,"44568,81","165794,1","93004,3","26905,2","40247,14","30300,75","12282,3","0,0867576108","0,1073783131",0,0,"0,00007131254675"
Кызылординская,2025,8,"30485,6","23252,47","26157,7","16720,5","6036,4","20191,92","14009,08","5979,5","0,1654541493","0,1515730054",0,0,"0,4192226978"
